n;seq;bin;interp
2;0.00317;0.00377;0.00225
4;0.00493;0.00531;0.00224
8;0.00856;0.00763;0.00258
16;0.01584;0.01003;0.00263
32;0.02902;0.01177;0.00258
64;0.0601;0.01888;0.00367
128;0.16866;0.01543;0.0026
256;0.20716;0.01565;0.00225
512;0.45743;0.01864;0.00234
1024;0.96626;0.02045;0.00239
2048;1.75115;0.02457;0.00226
4096;3.29605;0.02276;0.00226
8192;7.82796;0.03672;0.00226
16384;13.4298;0.02639;0.00227
32768;27.1225;0.02872;0.00228
65536;53.6038;0.0296;0.00225
131072;106.599;0.03238;0.00226
262144;212.193;0.03344;0.00227
524288;426.4;0.03609;0.00228
1048576;853.195;0.03733;0.00227
